단어1	단어2	작가	공기어 사용 빈도	가장 많이 투고한 잡지
각국	종교	204	2	천도교회월보
각국	종교	205	2	천도교회월보
각국	종교	206	2	천도교회월보
각국	종교	207	2	천도교회월보
각국	종교	208	2	천도교회월보
내역	종교	204	2	천도교회월보
내역	종교	205	2	천도교회월보
내역	종교	206	2	천도교회월보
내역	종교	207	2	천도교회월보
내역	종교	208	2	천도교회월보
개기	내역	204	2	천도교회월보
개기	내역	205	2	천도교회월보
개기	내역	206	2	천도교회월보
개기	내역	207	2	천도교회월보
개기	내역	208	2	천도교회월보
소지	소천	136	2	소년
소지	소천	138	2	소년
소지	소천	146	2	소년
소지	소천	149	2	소년
소지	소천	154	2	소년
개기	속	205	2	천도교회월보
개기	속	206	2	천도교회월보
개기	속	207	2	천도교회월보
개기	속	208	2	천도교회월보
개기	속	209	2	천도교회월보
해안	해안	崔讚植	12	우리의 가뎡
금강	천연	海東山人	12	신문계
공원	천연	海東山人	12	신문계
사람	육신	金源澹	4	천도교회월보
사람	육신	尹應奎	4	천도교회월보
일	힘쓰	朴熙澤	2	천도교회월보
일	힘쓰	尹衡三	2	천도교회월보
일	힘쓰	李鍾一	2	천도교회월보
일	힘쓰	中皐散人	2	천도교회월보
