단어	품사	빈도
일	일반명사	51
사람	일반명사	37
장원	일반명사	27
마음	일반명사	26
해안	일반명사	17
종교	일반명사	16
정성	일반명사	14
한우	일반명사	14
속	일반명사	13
한울	일반명사	13
세계	일반명사	11
이야기	일반명사	10
말씀	일반명사	10
세상	일반명사	8
각국	일반명사	8
내역	일반명사	8
개기	일반명사	8
복	일반명사	8
교	일반명사	8
소천	일반명사	7
소지	일반명사	7
본	일반명사	6
봄	일반명사	6
하늘	일반명사	6
근본	일반명사	6
청년	일반명사	6
천연	일반명사	6
공원	일반명사	6
아이	일반명사	5
말	일반명사	5
장원	고유명사	14
백장홍	고유명사	8
양춘구곡	고유명사	6
화악산	고유명사	6
금강	고유명사	6
조선	고유명사	5
나폴레옹	고유명사	3
예수	고유명사	3
금일	고유명사	3
고별문	고유명사	3
한울	고유명사	3
링컨	고유명사	2
태백	고유명사	2
이	고유명사	2
흥부	고유명사	2
우의담	고유명사	2
왕양명	고유명사	2
강습제	고유명사	2
대신사	고유명사	2
조	고유명사	2
태백산	고유명사	2
동경	고유명사	2
밋그	고유명사	1
에머슨	고유명사	1
독일	고유명사	1
황령	고유명사	1
헬렌	고유명사	1
켈러	고유명사	1
대동강	고유명사	1
거년	고유명사	1
대하	동사	32
하	동사	9
보	동사	7
되	동사	6
지키	동사	6
구하	동사	6
믿	동사	5
쓰	동사	5
닦	동사	5
알	동사	5
힘쓰	동사	4
위하	동사	3
얻	동사	3
오	동사	3
기도하	동사	3
버리	동사	3
갚	동사	3
사랑하	동사	3
읽	동사	2
살	동사	2
깨	동사	2
기다리	동사	2
찬미하	동사	2
정하	동사	2
견디	동사	2
피하	동사	2
가	동사	2
망하	동사	2
대접하	동사	2
빌	동사	2
있	형용사	12
크	형용사	12
없	형용사	5
귀하	형용사	4
어리	형용사	3
뜨겁	형용사	2
많	형용사	2
젊	형용사	2
무섭	형용사	2
굳	형용사	2
지극하	형용사	2
좋	형용사	1
곤하	형용사	1
멀	형용사	1
더럽	형용사	1
힘들	형용사	1
못되	형용사	1
거룩하	형용사	1
세	형용사	1
어질	형용사	1
옳	형용사	1
불쌍하	형용사	1
악하	형용사	1
불행하	형용사	1
늦	형용사	1
길	형용사	1
정성스럽	형용사	1
을하	형용사	1
고등하	형용사	1
미묘나	형용사	1
