장르	작가	편수
소설	方定煥	74
소설	崔曙海	41
소설	廉尙燮	34
소설	崔獨鵑	30
소설	方仁根	24
소설	李定鎬	23
소설	延星欽	21
소설	李箕永	19
소설	朴達成	19
소설	申明均	19
수필	朴達成	68
수필	方定煥	37
수필	方仁根	35
수필	李光洙	28
수필	車相瓚	26
수필	金基鎭	25
수필	廉尙燮	25
수필	崔獨鵑	23
수필	郭昌鉉	22
수필	崔曙海	22
시	金億	86
시	李殷相	80
시	朱耀翰	68
시	劉道順	62
시	李學仁	60
시	黃錫禹	58
시	李光洙	56
시	金東煥	47
시	張貞心	39
시	金東鳴	35
평론	梁柱東	33
평론	金基鎭	33
평론	朴英熙	31
평론	方仁根	28
평론	金億	21
평론	李殷相	17
평론	李光洙	17
평론	廉尙燮	17
평론	孫晋泰	15
평론	朱耀翰	15
희곡	梁建植	27
희곡	李慶孫	9
희곡	金永八	8
희곡	鄭寅燮	7
희곡	朴英熙	5
희곡	方仁根	4
희곡	朱耀燮	4
희곡	李箕永	4
희곡	金泰秀	3
희곡	金雲汀	3
