작가	편수	비율
총 작가 수	4497	-
金億	289	0.02157682544422876
李光洙	158	0.011796326713453785
李泰俊	113	0.0084366134089891
金起林	106	0.007913991339405704
朱耀翰	103	0.007690010452441391
金東煥	103	0.007690010452441391
蔡萬植	100	0.007466029565477079
李殷相	89	0.006644766313274601
金東仁	85	0.006346125130655517
異河潤	75	0.00559952217410781
李無影	72	0.0053755412871434975
李軒求	70	0.005226220695833956
方仁根	64	0.00477825892190533
朱耀燮	59	0.004404957443631477
咸大勲	56	0.004180976556667164
盧子泳	55	0.004106316261012394
毛允淑	52	0.0038823353740480814
金大駿	50	0.0037330147827385396
朴龍喆	48	0.003583694191428998
尹石重	47	0.0035090338957742273
嚴興燮	46	0.0034343736001194564
尹敎重	46	0.0034343736001194564
洪曉民	45	0.0033597133044646855
金瑗根	45	0.0033597133044646855
金尙鎔	45	0.0033597133044646855
李定鎬	44	0.003285053008809915
李石薰	43	0.003210392713155144
李秉岐	43	0.003210392713155144
金東鳴	43	0.003210392713155144
宋影	41	0.0030610721218456024
李應洙	40	0.002986411826190832
許文日	39	0.002911751530536061
로아	39	0.002911751530536061
金午男	39	0.002911751530536061
黃錫禹	38	0.00283709123488129
許保	38	0.00283709123488129
崔獨鵑	38	0.00283709123488129
柳光烈	38	0.00283709123488129
姜敬愛	37	0.0027624309392265192
方定煥	37	0.0027624309392265192
宋順鎰	37	0.0027624309392265192
崔貞熙	37	0.0027624309392265192
鄭芝溶	36	0.0026877706435717488
白鐵	36	0.0026877706435717488
李一	35	0.002613110347916978
金慈惠	34	0.002538450052262207
車相瓚	34	0.002538450052262207
皮千得	34	0.002538450052262207
朴世永	34	0.002538450052262207
徐恒錫	34	0.002538450052262207
李海文	33	0.002463789756607436
李瑞求	33	0.002463789756607436
朴達成	33	0.002463789756607436
崔永秀	32	0.002389129460952665
李大容	32	0.002389129460952665
朴英熙	31	0.0023144691652978947
延星欽	31	0.0023144691652978947
金泰午	31	0.0023144691652978947
卓相銖	31	0.0023144691652978947
兪鎭午	30	0.002239808869643124
劉道順	30	0.002239808869643124
朴花城	30	0.002239808869643124
朴八陽	30	0.002239808869643124
趙重洽	30	0.002239808869643124
李熙昇	30	0.002239808869643124
韓晶東	30	0.002239808869643124
三峯	30	0.002239808869643124
李孝石	29	0.002165148573988353
安懷南	29	0.002165148573988353
羅蕙錫	28	0.002090488278333582
韓龍雲	28	0.002090488278333582
辛夕汀	28	0.002090488278333582
田榮澤	28	0.002090488278333582
張德祚	28	0.002090488278333582
金明昊	28	0.002090488278333582
李允宰	28	0.002090488278333582
金基鎭	27	0.0020158279826788116
李東珪	27	0.0020158279826788116
李揆元	27	0.0020158279826788116
李箕永	27	0.0020158279826788116
崔秉和	27	0.0020158279826788116
林學洙	26	0.0019411676870240407
梁柱東	26	0.0019411676870240407
廉尙燮	26	0.0019411676870240407
金光燮	26	0.0019411676870240407
韓黑鷗	26	0.0019411676870240407
金敎重	26	0.0019411676870240407
閔丙均	25	0.0018665073913692698
蔡奎三	25	0.0018665073913692698
朴鍾和	25	0.0018665073913692698
沈熏	24	0.001791847095714499
金元周	24	0.001791847095714499
張萬榮	24	0.001791847095714499
全武吉	24	0.001791847095714499
金昶濟	24	0.001791847095714499
金永八	23	0.0017171868000597282
朴芽枝	23	0.0017171868000597282
李無極	23	0.0017171868000597282
金大鳳	23	0.0017171868000597282
卞榮魯	22	0.0016425265044049575
趙宗玄	22	0.0016425265044049575
徐光霽	22	0.0016425265044049575
丁來東	22	0.0016425265044049575
李鍾鳴	22	0.0016425265044049575
安含光	22	0.0016425265044049575
鄭寅燮	22	0.0016425265044049575
無號生	22	0.0016425265044049575
許三峯	22	0.0016425265044049575
趙靈出	22	0.0016425265044049575
林和	21	0.0015678662087501866
金友哲	21	0.0015678662087501866
崔泳柱	21	0.0015678662087501866
金華山	21	0.0015678662087501866
郭昌鉉	20	0.001493205913095416
朴魯春	20	0.001493205913095416
金源珠	20	0.001493205913095416
朴露兒	20	0.001493205913095416
金炳昊	20	0.001493205913095416
柳致環	20	0.001493205913095416
朴泰遠	19	0.001418545617440645
韓笛仙	19	0.001418545617440645
黄錫禹	19	0.001418545617440645
申孤松	19	0.001418545617440645
安夕影	19	0.001418545617440645
安在鴻	19	0.001418545617440645
李箱	18	0.0013438853217858744
金晉燮	18	0.0013438853217858744
金雲汀	18	0.0013438853217858744
林麟	18	0.0013438853217858744
崔義順	18	0.0013438853217858744
蔡弼近	18	0.0013438853217858744
金烏山人	17	0.0012692250261311035
韓仁澤	17	0.0012692250261311035
韓裕順	17	0.0012692250261311035
崔京化	17	0.0012692250261311035
尹崑崗	17	0.0012692250261311035
林然	17	0.0012692250261311035
宋桂月	16	0.0011945647304763326
金鴻熙	16	0.0011945647304763326
李晶燮	16	0.0011945647304763326
鄭靑山	16	0.0011945647304763326
申敬淳	16	0.0011945647304763326
許水萬	16	0.0011945647304763326
柳光烈	16	0.0011945647304763326
孫楓山	15	0.001119904434821562
崔鳳則	15	0.001119904434821562
裵相哲	15	0.001119904434821562
金東進	15	0.001119904434821562
李敦化	15	0.001119904434821562
金朝奎	15	0.001119904434821562
盧靜園	15	0.001119904434821562
盧天命	14	0.001045244139166791
洪振福	14	0.001045244139166791
林炳哲	14	0.001045244139166791
張瑞彦	14	0.001045244139166791
徐恩淑	14	0.001045244139166791
洪海星	14	0.001045244139166791
李元壽	14	0.001045244139166791
李慶孫	14	0.001045244139166791
金東吉	14	0.001045244139166791
安雲波	14	0.001045244139166791
閔丙徽	14	0.001045244139166791
崔仁化	14	0.001045244139166791
方濟各	14	0.001045244139166791
黃順元	14	0.001045244139166791
金台俊	14	0.001045244139166791
金振九	14	0.001045244139166791
康承翰	13	0.0009705838435120203
金允經	13	0.0009705838435120203
李久月	13	0.0009705838435120203
玉洞居士	13	0.0009705838435120203
李鐸	13	0.0009705838435120203
班禹巨	13	0.0009705838435120203
金奎澤	13	0.0009705838435120203
XYZ	13	0.0009705838435120203
柳致眞	13	0.0009705838435120203
張世英	13	0.0009705838435120203
崔相鉉	13	0.0009705838435120203
林玄極	13	0.0009705838435120203
鶯峯山人	12	0.0008959235478572496
朴祥燁	12	0.0008959235478572496
安廓	12	0.0008959235478572496
權景完	12	0.0008959235478572496
李善熙	12	0.0008959235478572496
崔曙海	12	0.0008959235478572496
金聖道	12	0.0008959235478572496
文一平	12	0.0008959235478572496
李萬珪	12	0.0008959235478572496
朴榮濬	12	0.0008959235478572496
韓百坤	12	0.0008959235478572496
崔承萬	12	0.0008959235478572496
玄鎭健	12	0.0008959235478572496
丹頂鶴	12	0.0008959235478572496
尹基鼎	12	0.0008959235478572496
李向破	12	0.0008959235478572496
一心生	12	0.0008959235478572496
趙潤濟	12	0.0008959235478572496
金太線	11	0.0008212632522024788
李洽	11	0.0008212632522024788
金起田	11	0.0008212632522024788
金璟載	11	0.0008212632522024788
劉載奇	11	0.0008212632522024788
李學仁	11	0.0008212632522024788
李明燮	11	0.0008212632522024788
盧良根	11	0.0008212632522024788
全鳳濟	11	0.0008212632522024788
金素月	11	0.0008212632522024788
李仁淑	11	0.0008212632522024788
南又薰	11	0.0008212632522024788
玄相允	11	0.0008212632522024788
朴承杰	11	0.0008212632522024788
李容卨	11	0.0008212632522024788
李永哲	11	0.0008212632522024788
金永義	11	0.0008212632522024788
崔流帆	11	0.0008212632522024788
朴應三	11	0.0008212632522024788
許英肅	11	0.0008212632522024788
郭蘭史	11	0.0008212632522024788
林元根	11	0.0008212632522024788
鄭日秀	10	0.000746602956547708
月明山人	10	0.000746602956547708
吳一島	10	0.000746602956547708
金乙漢	10	0.000746602956547708
曺希醇	10	0.000746602956547708
趙容萬	10	0.000746602956547708
曺山江	10	0.000746602956547708
壽春山人	10	0.000746602956547708
朴龍喆	10	0.000746602956547708
崔靑谷	10	0.000746602956547708
朴勝極	10	0.000746602956547708
李光天	10	0.000746602956547708
朴載崙	10	0.000746602956547708
姜鷺鄕	10	0.000746602956547708
李瑞海	10	0.000746602956547708
桂樹	10	0.000746602956547708
梁在應	9	0.0006719426608929372
金泰洽	9	0.0006719426608929372
金明順	9	0.0006719426608929372
全德仁	9	0.0006719426608929372
李北鳴	9	0.0006719426608929372
李孤山	9	0.0006719426608929372
梁建植	9	0.0006719426608929372
朴永山	9	0.0006719426608929372
鄭寅翼	9	0.0006719426608929372
申琳	9	0.0006719426608929372
朴永夏	9	0.0006719426608929372
朴恩惠	9	0.0006719426608929372
一盻生	9	0.0006719426608929372
許永萬	9	0.0006719426608929372
崔昇九	9	0.0006719426608929372
金志淵	9	0.0006719426608929372
全佑漢	9	0.0006719426608929372
薛貞植	9	0.0006719426608929372
尹聖相	9	0.0006719426608929372
朴炳道	9	0.0006719426608929372
北熊	9	0.0006719426608929372
翠雲生	9	0.0006719426608929372
丁榮泰	9	0.0006719426608929372
金光洲	9	0.0006719426608929372
南應孫	9	0.0006719426608929372
洪鍾仁	9	0.0006719426608929372
白信愛	9	0.0006719426608929372
李東九	9	0.0006719426608929372
尹活彬	9	0.0006719426608929372
金敎周	9	0.0006719426608929372
鄭錫泰	9	0.0006719426608929372
은방울	9	0.0006719426608929372
曺喜淳	8	0.0005972823652381663
崔麟	8	0.0005972823652381663
韓雪野	8	0.0005972823652381663
吳章煥	8	0.0005972823652381663
申明均	8	0.0005972823652381663
孫貞華	8	0.0005972823652381663
姜又慶	8	0.0005972823652381663
任元鎬	8	0.0005972823652381663
南宮憶	8	0.0005972823652381663
金炳國	8	0.0005972823652381663
孫初岳	8	0.0005972823652381663
安德根	8	0.0005972823652381663
宋鎭禹	8	0.0005972823652381663
金幽影	8	0.0005972823652381663
車一路	8	0.0005972823652381663
高永煥	8	0.0005972823652381663
丁來東	8	0.0005972823652381663
曹山江	8	0.0005972823652381663
朴露兒	8	0.0005972823652381663
金明謙	8	0.0005972823652381663
權九玄	8	0.0005972823652381663
柳葉	8	0.0005972823652381663
崔承一	8	0.0005972823652381663
赤駒	8	0.0005972823652381663
全萱植	8	0.0005972823652381663
붉은빛	8	0.0005972823652381663
李瑞救	8	0.0005972823652381663
張赫宙	8	0.0005972823652381663
李克魯	8	0.0005972823652381663
李燦	8	0.0005972823652381663
張貞心	8	0.0005972823652381663
高熙俊	8	0.0005972823652381663
徐晨月	8	0.0005972823652381663
鄭仁果	8	0.0005972823652381663
李英俊	8	0.0005972823652381663
金亨軾	8	0.0005972823652381663
金炯元	7	0.0005226220695833955
睦一信	7	0.0005226220695833955
朴仁德	7	0.0005226220695833955
朴熙道	7	0.0005226220695833955
曙野	7	0.0005226220695833955
蒼松	7	0.0005226220695833955
方壽龍	7	0.0005226220695833955
金亨俊	7	0.0005226220695833955
朴魯洪	7	0.0005226220695833955
세영	7	0.0005226220695833955
朱壽元	7	0.0005226220695833955
閔鳳鎬	7	0.0005226220695833955
李俊淑	7	0.0005226220695833955
李周洪	7	0.0005226220695833955
李赤曉	7	0.0005226220695833955
林海彰	7	0.0005226220695833955
李暎燮	7	0.0005226220695833955
高裕燮	7	0.0005226220695833955
黃準	7	0.0005226220695833955
崔仁俊	7	0.0005226220695833955
金敎臣	7	0.0005226220695833955
尹泰雄	7	0.0005226220695833955
曺雲	7	0.0005226220695833955
鄭秀日	7	0.0005226220695833955
尹克榮	7	0.0005226220695833955
鄭順貞	7	0.0005226220695833955
閔孤影	7	0.0005226220695833955
金道泰	7	0.0005226220695833955
號外生	7	0.0005226220695833955
吳天錫	7	0.0005226220695833955
吳樂敎	7	0.0005226220695833955
馬雲波	7	0.0005226220695833955
金明淳	7	0.0005226220695833955
楊浚華	7	0.0005226220695833955
金少春	7	0.0005226220695833955
野孤步	7	0.0005226220695833955
安俊植	7	0.0005226220695833955
趙碧岩	7	0.0005226220695833955
昇應順	7	0.0005226220695833955
宋完淳	7	0.0005226220695833955
吳基永	7	0.0005226220695833955
馬海松	6	0.0004479617739286248
裵春岡	6	0.0004479617739286248
崔昶楠	6	0.0004479617739286248
날파람	6	0.0004479617739286248
金南天	6	0.0004479617739286248
권병덕	6	0.0004479617739286248
금잔듸	6	0.0004479617739286248
洪命憙	6	0.0004479617739286248
金寧鎭	6	0.0004479617739286248
洪陽明	6	0.0004479617739286248
金秉濟	6	0.0004479617739286248
金永壽	6	0.0004479617739286248
金禮煥	6	0.0004479617739286248
玄濟明	6	0.0004479617739286248
玄極	6	0.0004479617739286248
海彰	6	0.0004479617739286248
金瓚泳	6	0.0004479617739286248
金昌述	6	0.0004479617739286248
金彩蘭	6	0.0004479617739286248
韓春蟪	6	0.0004479617739286248
한빛	6	0.0004479617739286248
金性睦	6	0.0004479617739286248
柳雲卿	6	0.0004479617739286248
崔英淑	6	0.0004479617739286248
丁洪敎	6	0.0004479617739286248
徐杜銖	6	0.0004479617739286248
石靜	6	0.0004479617739286248
薛義植	6	0.0004479617739286248
聲飢園	6	0.0004479617739286248
逍遙山人	6	0.0004479617739286248
昭姐	6	0.0004479617739286248
趙貞順	6	0.0004479617739286248
申東旭	6	0.0004479617739286248
申瑩澈	6	0.0004479617739286248
梁佳彬	6	0.0004479617739286248
梁平心	6	0.0004479617739286248
呂運亨	6	0.0004479617739286248
鄭寅普	6	0.0004479617739286248
滄隱	6	0.0004479617739286248
柳根錫	6	0.0004479617739286248
劉相奎	6	0.0004479617739286248
流星	6	0.0004479617739286248
柳在衡	6	0.0004479617739286248
鄭五星	6	0.0004479617739286248
尹致昊	6	0.0004479617739286248
丁來洞	6	0.0004479617739286248
李如星	6	0.0004479617739286248
張起悌	6	0.0004479617739286248
張起邦	6	0.0004479617739286248
林露月	6	0.0004479617739286248
李鍾洙	6	0.0004479617739286248
三笑生	6	0.0004479617739286248
安平原	6	0.0004479617739286248
李蕙淑	6	0.0004479617739286248
北原樵人	6	0.0004479617739286248
朴仁守	6	0.0004479617739286248
朴炳元	6	0.0004479617739286248
蔡奎鏡	6	0.0004479617739286248
卞光昊	6	0.0004479617739286248
최광범	6	0.0004479617739286248
蔡孤影	6	0.0004479617739286248
金萬祚	5	0.000373301478273854
李棟	5	0.000373301478273854
崔一化	5	0.000373301478273854
鄭念坡	5	0.000373301478273854
鄭達斌	5	0.000373301478273854
李癸元	5	0.000373301478273854
李甲基	5	0.000373301478273854
木春山人	5	0.000373301478273854
柳次元	5	0.000373301478273854
金麗植	5	0.000373301478273854
朴載崙	5	0.000373301478273854
牧童	5	0.000373301478273854
A記者	5	0.000373301478273854
李明植	5	0.000373301478273854
木古京	5	0.000373301478273854
崔瑨淳	5	0.000373301478273854
朴在崙	5	0.000373301478273854
洪木春	5	0.000373301478273854
洪蘭坡	5	0.000373301478273854
李東林	5	0.000373301478273854
北風散人	5	0.000373301478273854
權悳奎	5	0.000373301478273854
田植	5	0.000373301478273854
XY生	5	0.000373301478273854
一光	5	0.000373301478273854
朴謙淑	5	0.000373301478273854
姜小泉	5	0.000373301478273854
朴淚月	5	0.000373301478273854
李貞求	5	0.000373301478273854
鏡花	5	0.000373301478273854
崔承喜	5	0.000373301478273854
桂潤集	5	0.000373301478273854
高文洙	5	0.000373301478273854
朴마리아	5	0.000373301478273854
孤鶴	5	0.000373301478273854
高漢承	5	0.000373301478273854
李昇遠	5	0.000373301478273854
李聖洪	5	0.000373301478273854
郭鍾守	5	0.000373301478273854
李聖柱	5	0.000373301478273854
李成洛	5	0.000373301478273854
影童	5	0.000373301478273854
吳基先	5	0.000373301478273854
崔文鎭	5	0.000373301478273854
馬鳴	5	0.000373301478273854
申彦俊	5	0.000373301478273854
許憲	5	0.000373301478273854
許愚	5	0.000373301478273854
松雀	5	0.000373301478273854
宋錫夏	5	0.000373301478273854
南銀水	5	0.000373301478273854
白樂濬	5	0.000373301478273854
金在喆	5	0.000373301478273854
金在洪	5	0.000373301478273854
蔡金順	5	0.000373301478273854
許然	5	0.000373301478273854
石文亮	5	0.000373301478273854
金昌軾	5	0.000373301478273854
韓海龍	5	0.000373301478273854
滄浪客	5	0.000373301478273854
金春岡	5	0.000373301478273854
羅雲奎	5	0.000373301478273854
韓竹松	5	0.000373301478273854
金賢準	5	0.000373301478273854
菲爾賓	5	0.000373301478273854
鐵鋒	5	0.000373301478273854
金玉葉	5	0.000373301478273854
惠星	5	0.000373301478273854
崔鉉培	5	0.000373301478273854
金炳淳	5	0.000373301478273854
붉은샘	5	0.000373301478273854
梁昌俊	5	0.000373301478273854
金尙鏞	5	0.000373301478273854
鄭興弼	5	0.000373301478273854
楊柳新	5	0.000373301478273854
金世鎔	5	0.000373301478273854
楊雲閒	5	0.000373301478273854
金昭姐	5	0.000373301478273854
梁雨庭	5	0.000373301478273854
金素荷	5	0.000373301478273854
金壽任	5	0.000373301478273854
金水鄕	5	0.000373301478273854
裵德榮	5	0.000373301478273854
金輿濟	5	0.000373301478273854
朴古京	5	0.000373301478273854
安貞玉	5	0.000373301478273854
安廓	5	0.000373301478273854
申興雨	5	0.000373301478273854
李薰	5	0.000373301478273854
흰솔	5	0.000373301478273854
朴木月	5	0.000373301478273854
金鉉耉	4	0.00029864118261908315
朴轍	4	0.00029864118261908315
鄭潤喜	4	0.00029864118261908315
鄭潤熹	4	0.00029864118261908315
陸九廷	4	0.00029864118261908315
陸一信	4	0.00029864118261908315
徐昌洙	4	0.00029864118261908315
李鐘洙	4	0.00029864118261908315
崔活	4	0.00029864118261908315
忙中閑人	4	0.00029864118261908315
崔衡鍾	4	0.00029864118261908315
尹山溫	4	0.00029864118261908315
尹曙野	4	0.00029864118261908315
李在杓	4	0.00029864118261908315
尹成學	4	0.00029864118261908315
徐五峰	4	0.00029864118261908315
朴珍	4	0.00029864118261908315
鄭鎭石	4	0.00029864118261908315
春風生	4	0.00029864118261908315
鄭元燮	4	0.00029864118261908315
柳在順	4	0.00029864118261908315
毛麒允	4	0.00029864118261908315
金在哲	4	0.00029864118261908315
한득수	4	0.00029864118261908315
金正實	4	0.00029864118261908315
朱向斗	4	0.00029864118261908315
金雪崗	4	0.00029864118261908315
朴完植	4	0.00029864118261908315
月城	4	0.00029864118261908315
鄭榮水	4	0.00029864118261908315
朴尹錫	4	0.00029864118261908315
金剛秀	4	0.00029864118261908315
風流郞	4	0.00029864118261908315
雪崗	4	0.00029864118261908315
萍舟	4	0.00029864118261908315
流邦	4	0.00029864118261908315
金俊璜	4	0.00029864118261908315
金明善	4	0.00029864118261908315
鄭哲	4	0.00029864118261908315
金明植	4	0.00029864118261908315
冒險生	4	0.00029864118261908315
李順鐸	4	0.00029864118261908315
趙宗泫	4	0.00029864118261908315
裵先權	4	0.00029864118261908315
李道坤	4	0.00029864118261908315
李東雨	4	0.00029864118261908315
金克培	4	0.00029864118261908315
趙賢景	4	0.00029864118261908315
李順姬	4	0.00029864118261908315
南哲	4	0.00029864118261908315
金炳濟	4	0.00029864118261908315
車七善	4	0.00029864118261908315
車靑吾	4	0.00029864118261908315
朱涉	4	0.00029864118261908315
盧正一	4	0.00029864118261908315
車南星	4	0.00029864118261908315
李淑鍾	4	0.00029864118261908315
朱曜翰	4	0.00029864118261908315
曺正好	4	0.00029864118261908315
金琪鎬	4	0.00029864118261908315
自山生	4	0.00029864118261908315
李源朝	4	0.00029864118261908315
李一星	4	0.00029864118261908315
李?林	4	0.00029864118261908315
金顯承	4	0.00029864118261908315
李建滿	4	0.00029864118261908315
李敬媛	4	0.00029864118261908315
北岳山人	4	0.00029864118261908315
李月岩	4	0.00029864118261908315
趙基栞	4	0.00029864118261908315
覆面兒	4	0.00029864118261908315
金活蘭	4	0.00029864118261908315
崔奎東	4	0.00029864118261908315
崔孤岳	4	0.00029864118261908315
曺晩植	4	0.00029864118261908315
李求	4	0.00029864118261908315
草士	4	0.00029864118261908315
草童兒	4	0.00029864118261908315
鄭世權	4	0.00029864118261908315
金庭漢	4	0.00029864118261908315
高三悅	4	0.00029864118261908315
洪斗杓	4	0.00029864118261908315
金泳德	4	0.00029864118261908315
梁孤峰	4	0.00029864118261908315
梁槿煥	4	0.00029864118261908315
仁旺學人	4	0.00029864118261908315
梁斗植	4	0.00029864118261908315
楊相殷	4	0.00029864118261908315
赤岳	4	0.00029864118261908315
楊柳村	4	0.00029864118261908315
呂運弘	4	0.00029864118261908315
宋海光	4	0.00029864118261908315
金永羲	4	0.00029864118261908315
胡聖源	4	0.00029864118261908315
郭仁榮	4	0.00029864118261908315
宋昌一	4	0.00029864118261908315
血灘	4	0.00029864118261908315
金玉峰	4	0.00029864118261908315
