잡지	편수	비율
총 잡지 수	125	-
조광	2243	0.13589821266282945
사해공론	1077	0.06525295365040897
삼천리	982	0.059497122084216904
신동아	949	0.05749772796122387
여성	747	0.045259012420478646
신인문학	629	0.038109663738261135
야담	570	0.034534989397152376
월간야담	552	0.033444410784610724
소년(1937)	542	0.03283853377764314
조선문단 (속간)	533	0.03229324447137231
신가정	470	0.028476219327476522
조선문학	433	0.026234474401696455
문장	403	0.0244168433807937
비판	393	0.023810966373826112
호남평론	372	0.022538624659194182
아이생활	343	0.020781581338988185
중앙	287	0.017388670099969705
학등	282	0.017085731596485913
시건설	237	0.014359285065131778
아이동무	199	0.012056952438654954
농민생활	166	0.010057558315661921
가톨릭조선	163	0.009875795213571644
가톨릭청년	140	0.008482278097546198
박문	134	0.008118751893365648
시조	133	0.008058164192668887
신인간	129	0.007815813389881854
시원	126	0.007634050287791579
삼천리문학	121	0.007331111784307786
용천검	106	0.006422296273856407
백광	106	0.006422296273856407
예술	102	0.006179945471069373
신세기	94	0.005695243865495305
한글	94	0.005695243865495305
청색지	91	0.005513480763405029
가톨릭연구	88	0.0053317176613147535
시학	86	0.005210542259921236
성서조선	85	0.0051499545592244775
인문평론	81	0.004907603756437443
가정지우	81	0.004907603756437443
새사람	80	0.004847016055740685
맥	80	0.004847016055740685
실화	78	0.004725840654347168
부활운동	77	0.004665252953650409
신조선(1927)	75	0.004544077552256892
풍림	73	0.004422902150863375
복음운동	73	0.004422902150863375
시인부락	69	0.0041805513480763406
소년중앙	64	0.0038776128445925477
청년	62	0.0037564374431990305
계명시보	46	0.0027870342320508936
불교	45	0.002726446531354135
조선영화	44	0.0026658588306573768
실생활	44	0.0026658588306573768
부인공론	42	0.0025446834292638595
광업조선	41	0.0024840957285671007
대평양	41	0.0024840957285671007
천도교회월보	41	0.0024840957285671007
가톨릭소년	40	0.0024235080278703423
농업조선	39	0.002362920327173584
학우구락부	37	0.0022417449257800667
활천	36	0.0021811572250833083
시림	34	0.002059981823689791
종교시보	33	0.0019993941229930322
정음	28	0.0016964556195092396
영화연극	27	0.001635867918812481
영화조선	27	0.001635867918812481
영화보	27	0.001635867918812481
자오선	27	0.001635867918812481
우리집	26	0.0015752802181157226
문학(1936)	26	0.0015752802181157226
웅계	24	0.0014541048167222054
동화	24	0.0014541048167222054
모던조선	23	0.0013935171160254468
성화	22	0.0013329294153286884
창공	22	0.0013329294153286884
아	19	0.0011511663132384125
원산시론	19	0.0011511663132384125
일월시보	19	0.0011511663132384125
백파	18	0.0010905786125416542
만화만문	18	0.0010905786125416542
십자군	18	0.0010905786125416542
단층	18	0.0010905786125416542
탐구	18	0.0010905786125416542
아동문예	18	0.0010905786125416542
별나라	17	0.0010299909118448955
월미	17	0.0010299909118448955
초원	17	0.0010299909118448955
천국복음	17	0.0010299909118448955
금성(1937)	16	0.0009694032111481369
영화시대	15	0.0009088155104513784
잘씨	15	0.0009088155104513784
선원	14	0.0008482278097546198
극예술	14	0.0008482278097546198
홍법우	14	0.0008482278097546198
작품(1939)	14	0.0008482278097546198
진단학보	14	0.0008482278097546198
한청	14	0.0008482278097546198
요양촌	13	0.0007876401090578613
신흥	13	0.0007876401090578613
기쁜소식	12	0.0007270524083611027
동양평론	12	0.0007270524083611027
월간매신	11	0.0006664647076643442
출발	11	0.0006664647076643442
순문예	9	0.0005452893062708271
목마	9	0.0005452893062708271
조선농민(1936)	8	0.00048470160557406846
문화시사	7	0.0004241139048773099
신시대(1936)	7	0.0004241139048773099
신생명(1935)	7	0.0004241139048773099
낙원(1936)	6	0.00036352620418055135
과학조선	5	0.0003029385034837928
작품(1938)	5	0.0003029385034837928
사명	5	0.0003029385034837928
현대여성	4	0.00024235080278703423
대중의학	4	0.00024235080278703423
쩌날리즘	4	0.00024235080278703423
신아동	4	0.00024235080278703423
전남평론	4	0.00024235080278703423
무대	4	0.00024235080278703423
고양	3	0.00018176310209027567
광화	3	0.00018176310209027567
설교	2	0.00012117540139351712
신앙세계	2	0.00012117540139351712
금강산	1	6.058770069675856e-05
상업계	1	6.058770069675856e-05
