작가	편수	비율
총 작가 수	288	-
奇怡富	22	0.047109207708779445
任英彬	14	0.029978586723768737
崔相鉉	12	0.02569593147751606
河鯉泳	11	0.023554603854389723
李能和	8	0.017130620985010708
金朝奎	8	0.017130620985010708
崔南善	8	0.017130620985010708
梁建植	7	0.014989293361884369
田榮澤	7	0.014989293361884369
千實羅	6	0.01284796573875803
金泰洽	6	0.01284796573875803
權純九	4	0.008565310492505354
張貞心	4	0.008565310492505354
鄭景玉	4	0.008565310492505354
之一	4	0.008565310492505354
류경상	4	0.008565310492505354
金昌俊	4	0.008565310492505354
金翊鏞	4	0.008565310492505354
金光宇	4	0.008565310492505354
景玉	4	0.008565310492505354
閔英淑	3	0.006423982869379015
月波生	3	0.006423982869379015
朴允進	3	0.006423982869379015
宋南園	3	0.006423982869379015
盧寶石	3	0.006423982869379015
金億	3	0.006423982869379015
楊雲閒	3	0.006423982869379015
朴裕秉	3	0.006423982869379015
崔炳憲	3	0.006423982869379015
濯斯生	3	0.006423982869379015
崔宗範	3	0.006423982869379015
柳鍾石	2	0.004282655246252677
黃錫禹	2	0.004282655246252677
洪銀杓	2	0.004282655246252677
金庠基	2	0.004282655246252677
許三峰	2	0.004282655246252677
韓平龍	2	0.004282655246252677
金在翼	2	0.004282655246252677
김재주	2	0.004282655246252677
金周桓	2	0.004282655246252677
秋堂菊人	2	0.004282655246252677
金鴻熙	2	0.004282655246252677
金化淸	2	0.004282655246252677
金熙運	2	0.004282655246252677
鐵馬	2	0.004282655246252677
柳志郁	2	0.004282655246252677
朴世永	2	0.004282655246252677
鄭一亨	2	0.004282655246252677
方仁根	2	0.004282655246252677
邊永瑞	2	0.004282655246252677
卞鴻圭	2	0.004282655246252677
釋大隱	2	0.004282655246252677
鄭榮泰	2	0.004282655246252677
沈熏	2	0.004282655246252677
李熙昇	2	0.004282655246252677
李世雲	2	0.004282655246252677
嬰檳	2	0.004282655246252677
猊雲散人	2	0.004282655246252677
吳天錫	2	0.004282655246252677
尹福鎭	2	0.004282655246252677
雲岡生	2	0.004282655246252677
黃順元	2	0.004282655246252677
兪恒林	2	0.004282655246252677
KOC	1	0.0021413276231263384
李濽龍	1	0.0021413276231263384
275	1	0.0021413276231263384
李祐烈	1	0.0021413276231263384
李元壽	1	0.0021413276231263384
李允宰	1	0.0021413276231263384
李殷相	1	0.0021413276231263384
李貞求	1	0.0021413276231263384
李庭珪	1	0.0021413276231263384
李正葉	1	0.0021413276231263384
李鍾駿	1	0.0021413276231263384
李種振	1	0.0021413276231263384
李周洪	1	0.0021413276231263384
李泰英	1	0.0021413276231263384
이봉주	1	0.0021413276231263384
李學仁	1	0.0021413276231263384
李海潮	1	0.0021413276231263384
李鄕	1	0.0021413276231263384
李憲	1	0.0021413276231263384
李軒求	1	0.0021413276231263384
李會馥	1	0.0021413276231263384
李彙昌	1	0.0021413276231263384
李羲性	1	0.0021413276231263384
274	1	0.0021413276231263384
逸素居士	1	0.0021413276231263384
273	1	0.0021413276231263384
張摩西	1	0.0021413276231263384
李善弘	1	0.0021413276231263384
李東珪	1	0.0021413276231263384
張月禮	1	0.0021413276231263384
442	1	0.0021413276231263384
吳鏞勳	1	0.0021413276231263384
445	1	0.0021413276231263384
沃州人	1	0.0021413276231263384
444	1	0.0021413276231263384
雲達山人	1	0.0021413276231263384
元裕珏	1	0.0021413276231263384
月泉生	1	0.0021413276231263384
월터램벗	1	0.0021413276231263384
월터양	1	0.0021413276231263384
443	1	0.0021413276231263384
兪吉濬	1	0.0021413276231263384
278	1	0.0021413276231263384
李敦化	1	0.0021413276231263384
兪鎭午	1	0.0021413276231263384
277	1	0.0021413276231263384
尹石重	1	0.0021413276231263384
尹六星	1	0.0021413276231263384
尹濟述	1	0.0021413276231263384
尹漢星	1	0.0021413276231263384
尹曉峰	1	0.0021413276231263384
吟淸	1	0.0021413276231263384
李敬媛	1	0.0021413276231263384
276	1	0.0021413276231263384
이대위	1	0.0021413276231263384
張萬榮	1	0.0021413276231263384
272	1	0.0021413276231263384
NWS	1	0.0021413276231263384
海圓居士	1	0.0021413276231263384
200	1	0.0021413276231263384
18	1	0.0021413276231263384
펠톤博士	1	0.0021413276231263384
辛夕汀	1	0.0021413276231263384
韓相震	1	0.0021413276231263384
韓仁澤	1	0.0021413276231263384
韓笛仙	1	0.0021413276231263384
韓周現	1	0.0021413276231263384
朴斗夏	1	0.0021413276231263384
咸大勲	1	0.0021413276231263384
咸允成	1	0.0021413276231263384
林學洙	1	0.0021413276231263384
崔載喜	1	0.0021413276231263384
許永萬	1	0.0021413276231263384
玄濟明	1	0.0021413276231263384
玄哲	1	0.0021413276231263384
慧信	1	0.0021413276231263384
芦下散人	1	0.0021413276231263384
洪健義	1	0.0021413276231263384
嚴興燮	1	0.0021413276231263384
華岡生	1	0.0021413276231263384
幻庵	1	0.0021413276231263384
朴芽枝	1	0.0021413276231263384
黃應律	1	0.0021413276231263384
崔正翊	1	0.0021413276231263384
201	1	0.0021413276231263384
張準錫	1	0.0021413276231263384
趙漢應	1	0.0021413276231263384
赤裸學人	1	0.0021413276231263384
271	1	0.0021413276231263384
鄭鳳來	1	0.0021413276231263384
270	1	0.0021413276231263384
269	1	0.0021413276231263384
丁洪敎	1	0.0021413276231263384
鄭和英	1	0.0021413276231263384
曺文史	1	0.0021413276231263384
趙龍九	1	0.0021413276231263384
趙宗玄	1	0.0021413276231263384
趙千鳳	1	0.0021413276231263384
朱耀翰	1	0.0021413276231263384
崔相彬	1	0.0021413276231263384
268	1	0.0021413276231263384
車性旿	1	0.0021413276231263384
滄川	1	0.0021413276231263384
蔡聖錫	1	0.0021413276231263384
267	1	0.0021413276231263384
266	1	0.0021413276231263384
崔求遠	1	0.0021413276231263384
265	1	0.0021413276231263384
최리매	1	0.0021413276231263384
崔文鎭	1	0.0021413276231263384
264	1	0.0021413276231263384
吳相淳	1	0.0021413276231263384
446	1	0.0021413276231263384
永煥	1	0.0021413276231263384
447	1	0.0021413276231263384
2620	1	0.0021413276231263384
金雪崗	1	0.0021413276231263384
金素荷	1	0.0021413276231263384
2208	1	0.0021413276231263384
金榮浩	1	0.0021413276231263384
金永羲	1	0.0021413276231263384
金玉羅	1	0.0021413276231263384
金雲從	1	0.0021413276231263384
金元燦	1	0.0021413276231263384
金裕淳	1	0.0021413276231263384
