단어1	단어2	작가	공기어 사용 빈도	가장 많이 투고한 잡지
웨슬리	일기	河鯉泳	18	신학세계
웨슬리	일기	류경상	8	신학세계
웨슬리	일기	2098	2	신학세계
웨슬리	일기	2099	2	신학세계
웨슬리	일기	2100	2	신학세계
요한	웨슬리	河鯉泳	12	신학세계
요한	웨슬리	奇怡富	6	신학세계
요한	웨슬리	2101	2	신학세계
요한	웨슬리	2102	2	신학세계
깨우치	말씀	崔南善	14	붉은져고리
깨우치	말씀	韓相震	2	붉은져고리
이	이름나	265	2	붉은져고리
이	이름나	268	2	붉은져고리
이	이름나	270	2	붉은져고리
이	이름나	272	2	붉은져고리
이	이름나	273	2	붉은져고리
안내	인생	千實羅	12	신학세계
웨슬리	전	奇怡富	8	신학세계
금강행	하	之一	8	금강산
기독교	독서실	442	2	신학세계
기독교	독서실	443	2	신학세계
기독교	독서실	月波生	2	신학세계
속	일기	河鯉泳	4	신학세계
속	일기	류경상	2	신학세계
무상	청춘	朴允進	6	금강산
