장르	작가	편수
소설	奇怡富	22
소설	崔相鉉	7
소설	梁建植	5
소설	權純九	3
소설	鄭榮泰	2
소설	方仁根	2
소설	鄭一亨	2
소설	金化淸	2
소설	1336	1
소설	李海潮	1
수필	河鯉泳	11
수필	任英彬	10
수필	李能和	8
수필	崔南善	8
수필	千實羅	6
수필	田榮澤	5
수필	류경상	4
수필	金昌俊	4
수필	之一	4
수필	金光宇	3
시	金朝奎	8
시	景玉	4
시	宋南園	3
시	任英彬	3
시	閔英淑	3
시	張貞心	3
시	崔宗範	3
시	崔相鉉	3
시	尹福鎭	2
시	黃順元	2
평론	月波生	2
평론	咸大勲	1
평론	卞鴻圭	1
평론	兪恒林	1
평론	兪吉濬	1
평론	任英彬	1
평론	445	1
평론	444	1
평론	443	1
평론	442	1
희곡	金泰洽	6
희곡	金翊鏞	4
희곡	鄭景玉	2
희곡	釋大隱	2
희곡	446	1
희곡	金熙運	1
희곡	丁洪敎	1
희곡	CSY	1
희곡	761	1
희곡	448	1
