잡지	편수	비율
총 잡지 수	27	-
신학세계	207	0.44325481798715205
불교진흥회월보	26	0.055674518201284794
단층	23	0.04925053533190578
붉은져고리	23	0.04925053533190578
금강산	22	0.047109207708779445
실생활	21	0.044967880085653104
아이생활	20	0.042826552462526764
회광	20	0.042826552462526764
유도	18	0.03854389721627409
학등	18	0.03854389721627409
별나라	11	0.023554603854389723
동성	9	0.019271948608137045
백악	8	0.017130620985010708
서광	7	0.014989293361884369
농민(1930)	7	0.014989293361884369
대도	4	0.008565310492505354
현대여성	4	0.008565310492505354
불일	4	0.008565310492505354
소년한반도	3	0.006423982869379015
유년	3	0.006423982869379015
사해공론	2	0.004282655246252677
아등(우리들)	2	0.004282655246252677
국우	1	0.0021413276231263384
과학조선	1	0.0021413276231263384
부활운동	1	0.0021413276231263384
혜성(제일선)	1	0.0021413276231263384
계명시보	1	0.0021413276231263384
