단어	품사	빈도
일기	일반명사	26
소설	일반명사	12
속	일반명사	12
인생	일반명사	12
밤	일반명사	8
독서실	일반명사	8
생활	일반명사	8
말씀	일반명사	8
명상	일반명사	7
가을	일반명사	7
마음	일반명사	6
감상	일반명사	6
노래	일반명사	6
안내	일반명사	6
교회	일반명사	5
시	일반명사	5
선생	일반명사	5
전	일반명사	5
눈	일반명사	4
기독교	일반명사	4
일	일반명사	4
수필	일반명사	4
종교	일반명사	4
목사	일반명사	4
꿈	일반명사	4
하늘	일반명사	4
이	일반명사	4
금강행	일반명사	4
농촌	일반명사	3
주	일반명사	3
웨슬리	고유명사	42
요한	고유명사	11
이	고유명사	6
성극	고유명사	5
조선	고유명사	5
예수	고유명사	4
임석동전	고유명사	3
크리스마스	고유명사	3
일막	고유명사	2
권두언	고유명사	2
금강산	고유명사	2
항마	고유명사	2
이상촌	고유명사	2
편상	고유명사	2
플린트하트	고유명사	2
신문팔이	고유명사	1
별나라	고유명사	1
봉은사	고유명사	1
무제록	고유명사	1
평양	고유명사	1
노대	고유명사	1
임금원	고유명사	1
구구	고유명사	1
자유모	고유명사	1
청년가	고유명사	1
에이브러햄	고유명사	1
링컨	고유명사	1
나폴레옹	고유명사	1
보나파르트	고유명사	1
윌리엄	고유명사	1
깨우치	동사	8
오	동사	7
이름나	동사	7
하	동사	5
보내	동사	4
맞	동사	3
받	동사	3
되	동사	2
추억하	동사	2
마치	동사	2
돌아오	동사	2
주	동사	2
가	동사	2
내리	동사	2
떠나	동사	2
나	동사	2
대하	동사	2
시찰하	동사	2
생각하	동사	1
바라보	동사	1
나르	동사	1
돌아가	동사	1
솟	동사	1
가지	동사	1
곡하	동사	1
듣	동사	1
깨닫	동사	1
앉	동사	1
바치	동사	1
없어지	동사	1
있	형용사	3
밝	형용사	1
곧	형용사	1
흔하	형용사	1
총명하	형용사	1
완전하	형용사	1
어리석	형용사	1
낡	형용사	1
크	형용사	1
뜨겁	형용사	1
어떻	형용사	1
어리	형용사	1
깨끗하	형용사	1
새롭	형용사	1
좋	형용사	1
깊	형용사	1
