작가	편수	비율
총 작가 수	14288	-
金億	864	0.01697379277827983
李光洙	597	0.011728419315547522
朱耀翰	298	0.005854386861027071
李軒求	292	0.005736513300066795
金東煥	285	0.005598994145613139
金東仁	279	0.0054811205846528625
李殷相	275	0.005402538210679345
方仁根	272	0.005343601430199206
李泰俊	271	0.005323955836705827
蔡萬植	254	0.004989980747318376
方定煥	248	0.0048721071863581
盧子泳	222	0.004361321755530234
朴達成	213	0.00418451141408982
梁柱東	202	0.003968409885662646
李箕永	200	0.003929118698675887
車相瓚	194	0.00381124513771561
梁建植	189	0.003713017170248713
咸大勲	187	0.003673725983261954
毛允淑	184	0.003614789202781816
金光燮	176	0.0034576244548347804
申鼎言	176	0.0034576244548347804
朴泰遠	175	0.003437978861341401
金起林	174	0.0034183332678480215
林和	172	0.0033790420808612626
朴鍾和	171	0.003359396487367883
朴英熙	170	0.0033397508938745038
廉尙燮	167	0.0032808141133943655
嚴興燮	167	0.0032808141133943655
洪曉民	166	0.003261168519900986
異河潤	163	0.0032022317394208477
李一	156	0.0030647125849671917
李無影	155	0.0030450669914738123
田榮澤	154	0.003025421397980433
李秉岐	153	0.0030057758044870534
崔南善	146	0.0028682566500333974
鄭芝溶	144	0.0028289654630466385
金炯元	144	0.0028289654630466385
李孝石	142	0.0027896742760598796
金基鎭	142	0.0027896742760598796
朱耀燮	139	0.0027307374955797413
李石薰	135	0.0026521551216062236
安懷南	132	0.0025932183411260853
黃錫禹	132	0.0025932183411260853
劉道順	128	0.0025146359671525675
金東鳴	124	0.00243605359317905
吳知泳	121	0.0023771168126989115
白鐵	120	0.002357471219205532
金瑗根	118	0.002318180032218773
金南天	116	0.0022788888452320143
兪鎭午	116	0.0022788888452320143
張德祚	113	0.002219952064751876
李學仁	112	0.0022003064712584966
尹石重	111	0.002180660877765117
延星欽	109	0.0021413696907783583
韓黑鷗	108	0.002121724097284979
金泰午	107	0.0021020785037915994
尹敎重	106	0.00208243291029822
李定鎬	102	0.0020038505363247023
宋影	101	0.001984204942831323
卞榮魯	101	0.001984204942831323
韓雪野	100	0.0019645593493379434
金大駿	99	0.001944913755844564
崔獨鵑	99	0.001944913755844564
李燦	96	0.0018859769753644257
金文輯	96	0.0018859769753644257
韓晶東	96	0.0018859769753644257
柳致環	95	0.0018663313818710462
尹崑崗	95	0.0018663313818710462
林學洙	95	0.0018663313818710462
張貞心	94	0.0018466857883776668
崔貞熙	94	0.0018466857883776668
崔永秀	93	0.0018270401948842874
柳光烈	92	0.001807394601390908
鄭寅燮	92	0.001807394601390908
朴八陽	91	0.0017877490078975285
金尙鎔	89	0.0017484578209107696
崔曙海	88	0.0017288122274173902
朴魯甲	87	0.0017091666339240108
安夕影	86	0.0016895210404306313
金明昊	84	0.0016502298534438724
崔昇九	82	0.0016109386664571136
玄鎭健	81	0.0015912930729637341
盧天命	80	0.0015716474794703547
朴勝極	77	0.0015127106989902164
李敦化	77	0.0015127106989902164
李源朝	76	0.001493065105496837
辛夕汀	76	0.001493065105496837
徐恒錫	74	0.0014537739185100781
鄭瑞竹	71	0.0013948371380299398
張萬榮	71	0.0013948371380299398
朴龍喆	71	0.0013948371380299398
吳天錫	71	0.0013948371380299398
馬鳴	70	0.0013751915445365604
朴世永	68	0.0013359003575498015
韓仁澤	68	0.0013359003575498015
李瑞求	67	0.001316254764056422
李相和	67	0.001316254764056422
桂鎔默	67	0.001316254764056422
鄭人澤	67	0.001316254764056422
任英彬	66	0.0012966091705630426
朴芽枝	65	0.0012769635770696632
玄哲	65	0.0012769635770696632
金敎臣	65	0.0012769635770696632
李應洙	65	0.0012769635770696632
宋順鎰	64	0.0012573179835762838
崔載瑞	63	0.0012376723900829043
李允宰	62	0.001218026796589525
劉向	62	0.001218026796589525
康承翰	62	0.001218026796589525
李周洪	61	0.0011983812030961455
朴木月	59	0.0011590900161093866
朴花城	59	0.0011590900161093866
徐光霽	59	0.0011590900161093866
羅稻香	58	0.0011394444226160072
金煥泰	58	0.0011394444226160072
韓龍雲	57	0.0011197988291226277
林然	57	0.0011197988291226277
金友哲	56	0.0011001532356292483
姜敬愛	56	0.0011001532356292483
白石	56	0.0011001532356292483
安含光	56	0.0011001532356292483
張赫宙	55	0.0010805076421358689
柳致眞	55	0.0010805076421358689
李熙昇	55	0.0010805076421358689
崔秉和	55	0.0010805076421358689
郭昌鉉	55	0.0010805076421358689
