단어1	단어2	작가	공기어 사용 빈도	가장 많이 투고한 잡지
문학	조선	洪曉民	14	신동아
문학	조선	李光洙	12	삼천리
문학	조선	趙潤濟	12	진단학보
문학	조선	朴英熙	8	개벽
문학	조선	林和	6	조광
눈	오	金億	8	삼천리
눈	오	盧子泳	6	신인문학
눈	오	朴花城	6	신가정
눈	오	韓晶東	6	야담
눈	오	金光均	4	비판
가	길	班禹巨	20	아이생활
가	길	朴勝喆	6	개벽
가	길	崔南善	6	소년
가	길	金起林	4	신동아
가	길	劉載奇	4	종교시보
봄	오	朴淚月	4	영화시대
봄	오	朴露兒	4	별건곤
봄	오	陸一信	4	동광
봄	오	李學仁	4	신인간
봄	오	趙逸鮮	4	천도교회월보
밤	오	金億	8	삼천리
밤	오	朴花城	6	신가정
밤	오	盧子泳	4	신인문학
밤	오	林仁洙	4	아이생활
밤	오	趙宗玄	4	동광
문예	시평	白鐵	12	조광
문예	시평	朴勝極	10	비판
문예	시평	安含光	10	비판
문예	시평	金基鎭	8	개벽
문예	시평	朴英熙	8	개벽
비	오	崔明翊	4	조광
비	오	金基鎭	4	개벽
비	오	張德祚	2	조광
비	오	姜鷺鄕	2	조광
비	오	權景完	2	신소년
사상	중국	劉向	124	월간야담
사상	중국	崔文鎭	2	야담
사상	여인	劉向	124	월간야담
여인	열전	劉向	124	월간야담
