장르	작가	편수
소설	金東仁	186
소설	申鼎言	165
소설	方定煥	153
소설	方仁根	129
소설	朴泰遠	129
소설	李箕永	119
소설	梁建植	110
소설	李泰俊	106
소설	蔡萬植	105
소설	嚴興燮	95
수필	李光洙	199
수필	朴達成	157
수필	李軒求	120
수필	吳知泳	113
수필	蔡萬植	101
수필	李泰俊	101
수필	金億	97
수필	方仁根	93
수필	車相瓚	91
수필	毛允淑	77
시	金億	628
시	李光洙	232
시	朱耀翰	194
시	金東煥	190
시	李殷相	145
시	金東鳴	117
시	金炯元	114
시	黃錫禹	112
시	異河潤	109
시	金光燮	101
평론	金億	108
평론	李光洙	95
평론	林和	90
평론	朴英熙	78
평론	李軒求	76
평론	洪曉民	74
평론	白鐵	72
평론	金基鎭	61
평론	梁柱東	57
평론	李泰俊	55
희곡	梁建植	39
희곡	玄哲	30
희곡	蔡萬植	23
희곡	宋影	20
희곡	一心生	15
희곡	金永八	15
희곡	金玄松	14
희곡	朴英鎬	13
희곡	柳致眞	12
희곡	金泰洽	12
