잡지	편수	비율
총 잡지 수	369	-
조광	3758	0.07382814034811992
삼천리	2581	0.05070527680641232
신동아	2579	0.05066598561942556
천도교회월보	1743	0.034242269458960355
별건곤	1477	0.029016541589721424
야담	1418	0.027857451573612038
어린이	1259	0.02473380220816471
사해공론	1095	0.02151192487525048
조선문단	1080	0.02121724097284979
동광	1061	0.02084397469647558
신가정	1037	0.020372480452634473
개벽	1031	0.020254606891674198
아이생활	995	0.019547365525912536
여성	982	0.019291972810498607
문장	901	0.01770067973753487
청년	876	0.017209539900200386
소년(1937)	761	0.01495029664846175
신인문학	745	0.014635967152567679
조선(조선문)	684	0.013437585949471533
학생	655	0.01286786373816353
신민	646	0.012691053396723115
비판	644	0.012651762209736355
신인간	630	0.012376723900829044
별나라	580	0.011394444226160072
중앙	571	0.011217633884719658
월간야담	569	0.011178342697732898
신여성	568	0.011158697104239518
신소년	565	0.01109976032375938
조선문단 (속간)	533	0.010471101331971239
신생	523	0.010274645397037445
조선문학	514	0.01009783505559703
학등	507	0.009960315901143374
인문평론	494	0.009704923185729441
조선지광	408	0.008015402145298809
조선시단	383	0.007524262307964324
혜성(제일선)	375	0.007367097560017288
호남평론	372	0.007308160779537149
시조	337	0.00662056500726887
청춘	329	0.006463400259321834
농민생활	311	0.006109779576441004
가톨릭청년	303	0.005952614828493969
반도의 빛	299	0.005874032454520451
진생	284	0.005579348552119759
춘추	283	0.00555970295862638
학생계	275	0.005402538210679345
문예공론	258	0.005068563121291894
동명	256	0.005029271934305135
소년	245	0.004813170405877962
실생활	238	0.004675651251424305
시건설	237	0.004656005657930926
태서문예신보	214	0.004204157007583199
신학세계	211	0.004145220227103061
성서조선	203	0.0039880554791560255
농민(1930)	201	0.003948764292169267
아이동무	199	0.003909473105182508
신세기	196	0.003850536324702369
박문	195	0.0038308907312089896
신문계	182	0.003575498015795057
신조선(1927)	168	0.003300459706887745
가톨릭조선	163	0.0032022317394208477
한글	158	0.0031040037719539506
대조	156	0.0030647125849671917
현대평론	150	0.002946839024006915
불교	148	0.0029075478370201562
(기독교)종교교육	144	0.0028289654630466385
예술	134	0.002632509528112844
등대(1929)	131	0.002573572747632706
시원	126	0.0024753447801658087
문예월간	123	0.0024164079996856704
가정지우	122	0.002396762406192291
삼천리문학	121	0.0023771168126989115
월간매신	119	0.0023378256257121526
금성(1923)	119	0.0023378256257121526
대중공론	118	0.002318180032218773
독립	110	0.0021610152842717377
신생명(1923)	109	0.0021413696907783583
용천검	106	0.00208243291029822
백광	106	0.00208243291029822
가톨릭연구	102	0.0020038505363247023
종교시보	97	0.001905622568857805
소년계	94	0.0018466857883776668
영대	94	0.0018466857883776668
활천	93	0.0018270401948842874
청색지	91	0.0017877490078975285
영화시대	90	0.001768103414404149
시종	90	0.001768103414404149
부인	90	0.001768103414404149
