단어	품사	빈도
문학	일반명사	648
봄	일반명사	646
노래	일반명사	634
밤	일반명사	601
가을	일반명사	508
이야기	일반명사	477
일	일반명사	449
사람	일반명사	430
속	일반명사	392
마음	일반명사	391
세계	일반명사	368
생활	일반명사	357
눈	일반명사	347
이	일반명사	331
꿈	일반명사	290
사랑	일반명사	288
문예	일반명사	288
영화	일반명사	287
소설	일반명사	283
어머니	일반명사	281
문단	일반명사	279
길	일반명사	276
선생	일반명사	275
때	일반명사	267
시	일반명사	266
예술	일반명사	262
소년	일반명사	255
꽃	일반명사	247
농촌	일반명사	246
아침	일반명사	237
조선	고유명사	759
중국	고유명사	216
서울	고유명사	105
경성	고유명사	89
무제	고유명사	86
미국	고유명사	86
동경	고유명사	86
러시아	고유명사	81
금강산	고유명사	71
독일	고유명사	69
평양	고유명사	62
파리	고유명사	60
일본	고유명사	58
톨스토이	고유명사	55
프랑스	고유명사	54
일	고유명사	52
크리스마스	고유명사	51
이광수	고유명사	49
춘원	고유명사	48
웨슬리	고유명사	47
만주	고유명사	45
인도	고유명사	44
이	고유명사	44
유럽	고유명사	43
상해	고유명사	43
방문기	고유명사	42
영국	고유명사	42
정조	고유명사	39
예수	고유명사	39
현대	고유명사	37
가	동사	528
보	동사	462
오	동사	457
대하	동사	452
하	동사	312
되	동사	247
찾	동사	191
보내	동사	174
울	동사	134
읽	동사	133
위하	동사	118
쓰	동사	105
알	동사	105
맞	동사	102
떠나	동사	98
받	동사	97
사랑하	동사	93
피	동사	89
살	동사	83
주	동사	81
생각하	동사	80
죽	동사	76
잃	동사	75
듣	동사	75
기다리	동사	74
타	동사	72
들	동사	71
잊	동사	68
잡	동사	66
내리	동사	64
있	형용사	267
없	형용사	253
그립	형용사	192
어리	형용사	122
젊	형용사	101
크	형용사	93
같	형용사	68
좋	형용사	64
푸르	형용사	59
희	형용사	58
아름답	형용사	57
슬프	형용사	53
많	형용사	46
깊	형용사	45
이상하	형용사	42
이렇	형용사	40
어떠하	형용사	40
새롭	형용사	37
불쌍하	형용사	36
붉	형용사	35
어떻	형용사	34
작	형용사	33
외롭	형용사	32
그렇	형용사	31
필요하	형용사	31
멀	형용사	30
적	형용사	29
위대하	형용사	29
곱	형용사	27
거룩하	형용사	25
